project_id,transaction_id,tract_geoid_2010,metro_2010,year,cde_name,qlici_amount,city,state,zip,purpose,qalicb_type,multi_cde,multi_tract
FL0124,2555,12101033101,Metropolitan,2016,"Advantage Capital Community Development Fund, LLC",1900000,Zephyrhills,FL,33540,Business Financing,NRE,NO,NO
FL0124,2556,12101033101,Metropolitan,2015,"Advantage Capital Community Development Fund, LLC",1900000,Zephyrhills,FL,33540,Business Financing,NRE,NO,NO
FL0125,2557,12095016406,Metropolitan,2015,"Advantage Capital Community Development Fund, LLC",667094,Winter Park,FL,32792,Business Financing,NRE,NO,NO
FL0125,2558,12095016406,Metropolitan,2016,"Advantage Capital Community Development Fund, LLC",240000,Winter Park,FL,32792,Business Financing,NRE,NO,NO
FL0125,2559,12095016406,Metropolitan,2017,"Advantage Capital Community Development Fund, LLC",1800000,Winter Park,FL,32792,Business Financing,NRE,NO,NO
FL0125,2560,12095016406,Metropolitan,2017,"Advantage Capital Community Development Fund, LLC",250000,Winter Park,FL,32792,Business Financing,NRE,NO,NO
FL0126,2561,12099001301,Metropolitan,2014,"Reinvestment Fund, Inc., The",2113800,Lake Park,FL,33403,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
FL0126,2562,12099001301,Metropolitan,2014,"Reinvestment Fund, Inc., The",886200,Lake Park,FL,33403,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,NO,NO
FL0127,2563,12095012403,Metropolitan,2015,"Morgan Stanley New Markets, Inc.",2160850,Orlando,FL,32808,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
FL0129,2564,12105010300,Metropolitan,2015,"Community Hospitality Healthcare Services, LLC",3381500,Lakeland,FL,33801,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
FL0129,2565,12105010300,Metropolitan,2015,"Community Hospitality Healthcare Services, LLC",1468500,Lakeland,FL,33801,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
FL0130,2566,12086009040,Metropolitan,2015,"Advantage Capital Community Development Fund, LLC",3900000,Medley,FL,33178,Business Financing,NRE,NO,NO
FL0130,2567,12086009040,Metropolitan,2015,"Advantage Capital Community Development Fund, LLC",1000000,Medley,FL,33178,Business Financing,NRE,NO,NO
FL0131,2568,12061050904,Metropolitan,2015,"Enhanced Community Development, LLC",2785608,Fellsmere,FL,32948,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0131,2569,12061050904,Metropolitan,2015,"Enhanced Community Development, LLC",1614685,Fellsmere,FL,32948,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0131,2570,12061050904,Metropolitan,2015,"Enhanced Community Development, LLC",599707,Fellsmere,FL,32948,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0131,2571,12061050904,Metropolitan,2015,"Capital One Community Renewal Fund, LLC",1114243,Fellsmere,FL,32948,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0131,2572,12061050904,Metropolitan,2015,"Capital One Community Renewal Fund, LLC",645874,Fellsmere,FL,32948,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0131,2573,12061050904,Metropolitan,2015,"Capital One Community Renewal Fund, LLC",239883,Fellsmere,FL,32948,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0132,2574,12099001500,Metropolitan,2014,"HEDC New Markets, Inc",4761400,Riviera Beach,FL,33404,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
FL0132,2575,12099001500,Metropolitan,2014,"HEDC New Markets, Inc",2028600,Riviera Beach,FL,33404,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
FL0133,2576,12127081700,Metropolitan,2015,"Advantage Capital Community Development Fund, LLC",10000000,Daytona Beach,FL,32117,Business Financing,NRE,NO,NO
FL0134,2577,12069030502,Metropolitan,2016,"Advantage Capital Community Development Fund, LLC",2500000,Leesburg,FL,34748,Business Financing,NRE,NO,NO
FL0134,2578,12069030502,Metropolitan,2015,"Advantage Capital Community Development Fund, LLC",4600000,Leesburg,FL,34748,Business Financing,NRE,NO,NO
FL0134,2579,12069030502,Metropolitan,2015,"Advantage Capital Community Development Fund, LLC",5400000,Leesburg,FL,34748,Business Financing,NRE,NO,NO
FL0135,2580,12086003100,Metropolitan,2015,"MBS Urban Initiatives CDE, LLC",3375500,Miami,FL,33136,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
FL0135,2581,12086003100,Metropolitan,2015,"MBS Urban Initiatives CDE, LLC",1524500,Miami,FL,33136,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
FL0135,2582,12086003100,Metropolitan,2015,"Community Hospitality Healthcare Services, LLC",4322400,Miami,FL,33136,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0135,2583,12086003100,Metropolitan,2015,"Community Hospitality Healthcare Services, LLC",1982600,Miami,FL,33136,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0136,2584,12086004902,Metropolitan,2015,"Urban Development Fund, LLC",4061229,Miami,FL,33126,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,YES,NO
FL0136,2585,12086004902,Metropolitan,2015,"Urban Development Fund, LLC",1069094,Miami,FL,33126,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,YES,NO
FL0136,2586,12086004902,Metropolitan,2015,"Urban Development Fund, LLC",1369677,Miami,FL,33126,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,YES,NO
FL0136,2587,12086004902,Metropolitan,2015,"USBCDE, LLC",1500000,Miami,FL,33126,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
FL0137,2588,12031002701,Metropolitan,2015,"Banc of America CDE, LLC",2453767,Jacksonville,FL,32254,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
FL0137,2589,12031002701,Metropolitan,2015,"Banc of America CDE, LLC",4046250,Jacksonville,FL,32254,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
FL0137,2590,12031002701,Metropolitan,2015,"Banc of America CDE, LLC",5999983,Jacksonville,FL,32254,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
FL0138,2591,12086003100,Metropolitan,2015,Urban Action Community Development LLC,3885500,Miami,FL,33136,Business Financing,NRE,YES,NO
FL0138,2592,12086003100,Metropolitan,2015,Urban Action Community Development LLC,34500,Miami,FL,33136,Business Financing,NRE,YES,NO
FL0138,2593,12086003100,Metropolitan,2015,Citibank NMTC Corporation,4692500,Miami,FL,33136,Business Financing,NRE,YES,NO
FL0138,2594,12086003100,Metropolitan,2015,Citibank NMTC Corporation,2167500,Miami,FL,33136,Business Financing,NRE,YES,NO
FL0139,2595,12086006602,Metropolitan,2015,"SunTrust Community Development Enterprises, LLC",1638000,Miami,FL,33130,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0139,2596,12086006602,Metropolitan,2015,"SunTrust Community Development Enterprises, LLC",3362000,Miami,FL,33130,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0139,2597,12086006602,Metropolitan,2015,"Community Hospitality Healthcare Services, LLC",4706800,Miami,FL,33130,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0139,2598,12086006602,Metropolitan,2015,"Community Hospitality Healthcare Services, LLC",2083200,Miami,FL,33130,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0139,2599,12086006602,Metropolitan,2015,"Community Hospitality Healthcare Services, LLC",3839772,Miami,FL,33130,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0139,2600,12086006602,Metropolitan,2015,"Community Hospitality Healthcare Services, LLC",1929400,Miami,FL,33130,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0139,2601,12086006602,Metropolitan,2015,"Community Hospitality Healthcare Services, LLC",535828,Miami,FL,33130,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0140,2602,12086005201,Metropolitan,2015,Self-Help Ventures Fund,1850000,MIAMI,FL,33136,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
FL0140,2603,12086005201,Metropolitan,2015,Self-Help Ventures Fund,3693000,MIAMI,FL,33136,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
FL0141,2606,12086003100,Metropolitan,2016,"Banc of America CDE, LLC",2642800,Miami,FL,33136,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0141,2607,12086003100,Metropolitan,2016,"Banc of America CDE, LLC",1357200,Miami,FL,33136,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0141,2608,12086003100,Metropolitan,2017,"Florida Community Loan Fund, Inc.",9594450,Miami,FL,33136,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0141,2609,12086003100,Metropolitan,2017,"Florida Community Loan Fund, Inc.",3905550,Miami,FL,33136,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,YES,NO
FL0141,2604,12086003100,Metropolitan,2016,ESIC New Markets Partners LP,5946300,Miami,FL,33136,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
FL0141,2605,12086003100,Metropolitan,2016,ESIC New Markets Partners LP,3053700,Miami,FL,33136,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
FL0142,2610,12033003400,Metropolitan,2016,"Habitat for Humanity NMTC, LLC",2112834,Pensacola,FL,32505,Real Estate – Construction–Housing-Single Family,RE,NO,NO
FL0143,2611,12095018700,Metropolitan,2016,"Black Business Investment Fund, Inc.",4034400,Orlando,FL,32808,Real Estate–Rehabilitation–Commercial,SPE,NO,NO
FL0143,2612,12095018700,Metropolitan,2016,"Black Business Investment Fund, Inc.",1905600,Orlando,FL,32808,Real Estate–Rehabilitation–Commercial,SPE,NO,NO
FL0144,2613,12055960200,Non-Metropolitan,2016,"Florida Community Loan Fund, Inc.",4462946,Avon Park,FL,33825,Real Estate–Rehabilitation–Commercial,NRE,NO,NO
FL0144,2614,12055960200,Non-Metropolitan,2016,"Florida Community Loan Fund, Inc.",1793721,Avon Park,FL,33825,Real Estate–Rehabilitation–Commercial,NRE,NO,NO
